,each_original_data,m/z A,m/z B,Interpretation A,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
35,[b7-H3PO4-H2O] (1+) @ 727.27 & y3 (1+) @ 410.25,727.27,410.25,,,1.0,1.0,
36,728.32 & 569.4,728.32,569.4,,,1.0,1.0,
37,b6 (1+) @ 743.52 & bi7-9 (1+) @ 329.71,743.52,329.71,,,1.0,1.0,
38,[y7-NH3] (1+) @ 766.69 & b3 (1+) @ 469.17,766.69,469.17,y7-(H2O)(1+),b3(1+),1.0,1.0,0.351
39,[y7-NH3] (1+) @ 766.69 & b3 (1+) @ 469.17,766.69,469.17,y7-(NH3)(1+),b3(1+),1.0,1.0,0.64
40,y7 (1+) @ 784.12 & b2 (1+) @ 287.76,784.12,287.76,bi(3-9)(1+),b2(1+),1.0,1.0,0.411
41,y7 (1+) @ 784.12 & b2 (1+) @ 287.76,784.12,287.76,y7(1+),b2(1+),1.0,1.0,0.441
42,y7 (1+) @ 784.38 & b3 (1+) @ 469.1,784.38,469.1,y7(1+),b3(1+),1.0,1.0,0.054
43,[b7-2(H2O)]/[b7-NH3-H2O] (1+) @ 807.36 & y3 (1+) @ 410.11,807.36,410.11,b7-2(H2O)(1+),y3(1+),1.0,1.0,0.106
44,[b7-H2O] (1+) @ 825.19 & bi8-9 (1+) @ 228.81,825.19,228.81,b7-(H2O)(1+),y2-2(H2O)-(HCOOH)(1+),1.0,1.0,0.31
45,[b7-H2O] (1+) @ 825.19 & bi8-9 (1+) @ 228.81,825.19,228.81,b7-(H2O)(1+),bi(8-9)(1+),1.0,1.0,0.329
46,[b7-H2O] (1+) @ 825.19 & bi8-9 (1+) @ 228.81,825.19,228.81,bi(2-8)-(NH3)(1+),y2-2(H2O)-(HCOOH)(1+),1.0,1.0,0.927
47,b7 (1+) @ 843.12 & bi8-9 (1+) @ 228.81,843.12,228.81,b7(1+),y2-2(H2O)-(HCOOH)(1+),1.0,1.0,0.347
48,b7 (1+) @ 843.12 & bi8-9 (1+) @ 228.81,843.12,228.81,b7(1+),bi(8-9)(1+),1.0,1.0,0.364
49,b7 (1+) @ 843.61 & ai8-9 (1+) @ 200.62,843.61,200.62,b7(1+),ai(8-9)(1+),1.0,1.0,0.583
50,844.25 & 806.82,844.25,806.82,,,1.0,1.0,
51,844.84 & 274.35,844.84,274.35,b8-(H3PO4)(1+),y2-2(H2O)(1+),1.0,1.0,0.87
52,??? @ 867.7 & [y2 – H2O] (1+) @ 291.9,867.7,291.9,,,1.0,1.0,
53,[b8-H2O] (1+) @ 924.37 & [y2 – HCOOH – H2O] (1+) @ 246.98,924.37,246.98,b8-(H2O)(1+),y2-2(NH3)-(HCOH)(1+),1.0,1.0,0.08
54,[b8-H2O] (1+) @ 924.37 & [y2 – HCOOH – H2O] (1+) @ 246.98,924.37,246.98,b8-(H2O)(1+),y2-(H2O)-(HCOOH)(1+),1.0,1.0,0.13
55,[b8-H2O] (1+) @ 924.37 & [y2 – HCOOH – H2O] (1+) @ 246.98,924.37,246.98,b8-(NH3)(1+),y2-2(NH3)-(HCOH)(1+),1.0,1.0,0.983
56,[b8-H2O] (1+) @ 924.37 & [y2 – HCOOH – H2O] (1+) @ 246.98,924.37,246.98,b8-(NH3)(1+),y2-(H2O)-(HCOOH)(1+),1.0,1.0,0.989
57,939.22 & 609.33,939.22,609.33,,,1.0,1.0,
58,941.73 & 274.8,941.73,274.8,b8(1+),y2-2(H2O)(1+),1.0,1.0,0.716
59,b9 (1+) @ 942.37 & [y2 – HCOOH – H2O] (1+) @ 246.94,942.37,246.94,b8(1+),y2-2(NH3)-(HCOH)(1+),1.0,1.0,0.12
60,b9 (1+) @ 942.37 & [y2 – HCOOH – H2O] (1+) @ 246.94,942.37,246.94,b8(1+),y2-(H2O)-(HCOOH)(1+),1.0,1.0,0.17
61,[y8-NH3] (1+) @ 947.45 & a2 (1+) @ 259.8,947.45,259.8,y8-(H2O)(1+),a2(1+),1.0,1.0,0.342
62,[y8-NH3] (1+) @ 947.45 & a2 (1+) @ 259.8,947.45,259.8,y8-(NH3)(1+),a2(1+),1.0,1.0,0.949
63,[y8-NH3] (1+) @ 949.32 & b2 (1+) @ 287.66,949.32,287.66,,,1.0,1.0,
64,y8 (1+) @ 965.41 & b2 (1+) @ 287.94,965.41,287.94,y8(1+),b2(1+),1.0,1.0,0.194
